Trip..Duration,Start.Station.Id,Start.Time,End.Station.Id,End.Time,User.Type,Long_Trip
222,7238,12/01/2021 02:56,7662,12/01/2021 03:00,Annual Member,No
348,7163,12/01/2021 07:42,7293,12/01/2021 07:48,Annual Member,No
467,7246,12/01/2021 08:33,7293,12/01/2021 08:41,Annual Member,No
1055,7158,12/01/2021 08:37,7293,12/01/2021 08:54,Annual Member,Yes
635,7372,12/01/2021 08:41,7293,12/01/2021 08:51,Annual Member,No
253,7285,12/01/2021 08:44,7293,12/01/2021 08:48,Annual Member,No
635,7042,12/01/2021 08:52,7293,12/01/2021 09:02,Annual Member,No
399,7199,12/01/2021 08:56,7293,12/01/2021 09:03,Annual Member,No
715,7114,12/01/2021 09:02,7293,12/01/2021 09:14,Annual Member,No
441,7281,12/01/2021 09:03,7293,12/01/2021 09:11,Annual Member,No
832,7073,12/01/2021 09:04,7293,12/01/2021 09:18,Annual Member,No
1027,7642,12/01/2021 09:22,7293,12/01/2021 09:39,Casual Member,Yes
291,7543,12/01/2021 09:36,7293,12/01/2021 09:41,Annual Member,No
622,7055,12/01/2021 09:41,7293,12/01/2021 09:51,Casual Member,No
195,7190,12/01/2021 09:47,7293,12/01/2021 09:51,Annual Member,No
2,7002,12/01/2021 09:51,7107,12/01/2021 09:52,Annual Member,No
84,7365,12/01/2021 10:37,7428,12/01/2021 10:38,Annual Member,No
604,7121,12/01/2021 11:08,7293,12/01/2021 11:18,Annual Member,No
2137,7150,12/01/2021 11:10,7293,12/01/2021 11:46,Annual Member,Yes
523,7281,12/01/2021 12:03,7293,12/01/2021 12:12,Annual Member,No
1001,7354,12/01/2021 12:18,7428,12/01/2021 12:35,Casual Member,Yes
989,7354,12/01/2021 12:18,7428,12/01/2021 12:35,Casual Member,Yes
119,7136,12/01/2021 12:31,7662,12/01/2021 12:33,Annual Member,No
434,7022,12/01/2021 12:49,7293,12/01/2021 12:56,Annual Member,No
763,7209,12/01/2021 12:59,7293,12/01/2021 13:12,Annual Member,No
362,7666,12/01/2021 13:00,7662,12/01/2021 13:06,Annual Member,No
1236,7072,12/01/2021 13:15,7662,12/01/2021 13:36,Annual Member,Yes
441,7457,12/01/2021 13:51,7293,12/01/2021 13:58,Annual Member,No
462,7389,12/01/2021 13:53,7293,12/01/2021 14:01,Annual Member,No
419,7131,12/01/2021 14:04,7293,12/01/2021 14:11,Annual Member,No
235,7006,12/01/2021 14:35,7293,12/01/2021 14:39,Annual Member,No
269,7543,12/01/2021 14:50,7293,12/01/2021 14:54,Annual Member,No
883,7343,12/01/2021 14:55,7428,12/01/2021 15:09,Casual Member,No
438,7055,12/01/2021 14:57,7293,12/01/2021 15:04,Annual Member,No
544,7247,12/01/2021 15:05,7249,12/01/2021 15:14,Annual Member,No
630,7483,12/01/2021 15:08,7428,12/01/2021 15:19,Annual Member,No
251,7647,12/01/2021 15:09,7293,12/01/2021 15:14,Annual Member,No
825,7259,12/01/2021 15:30,7293,12/01/2021 15:44,Casual Member,No
411,7148,12/01/2021 16:03,7662,12/01/2021 16:10,Casual Member,No
1322,7263,12/01/2021 16:09,7249,12/01/2021 16:31,Annual Member,Yes
1090,7047,12/01/2021 16:13,7338,12/01/2021 16:31,Annual Member,Yes
634,7005,12/01/2021 16:37,7293,12/01/2021 16:48,Casual Member,No
353,7066,12/01/2021 16:44,7293,12/01/2021 16:50,Annual Member,No
418,7002,12/01/2021 16:47,7293,12/01/2021 16:54,Annual Member,No
536,7270,12/01/2021 16:49,7293,12/01/2021 16:58,Annual Member,No
1148,7357,12/01/2021 16:57,7338,12/01/2021 17:16,Casual Member,Yes
