Trip..Duration,Start.Station.Id,Start.Time,End.Station.Id,End.Time,User.Type,Long_Trip
486,7293,12/01/2021 01:27,7077,12/01/2021 01:35,Annual Member,No
810,7338,12/01/2021 03:06,7357,12/01/2021 03:19,Casual Member,No
1208,7662,12/01/2021 08:02,7015,12/01/2021 08:22,Casual Member,Yes
357,7662,12/01/2021 08:22,7148,12/01/2021 08:28,Casual Member,No
1038,7662,12/01/2021 08:36,7017,12/01/2021 08:54,Annual Member,Yes
1437,7338,12/01/2021 11:11,7483,12/01/2021 11:35,Casual Member,Yes
396,7293,12/01/2021 11:12,7038,12/01/2021 11:19,Annual Member,No
598,7293,12/01/2021 11:45,7037,12/01/2021 11:55,Annual Member,No
273,7293,12/01/2021 12:05,7263,12/01/2021 12:10,Annual Member,No
143,7662,12/01/2021 12:27,7136,12/01/2021 12:29,Annual Member,No
169,7293,12/01/2021 12:38,7006,12/01/2021 12:41,Annual Member,No
581,7293,12/01/2021 12:48,7028,12/01/2021 12:57,Annual Member,No
1467,7293,12/01/2021 13:17,7105,12/01/2021 13:41,Casual Member,Yes
875,7293,12/01/2021 13:23,7417,12/01/2021 13:38,Casual Member,No
415,7293,12/01/2021 13:45,7292,12/01/2021 13:52,Annual Member,No
808,7293,12/01/2021 13:57,7204,12/01/2021 14:10,Annual Member,No
550,7293,12/01/2021 14:02,7281,12/01/2021 14:11,Annual Member,No
447,7293,12/01/2021 14:13,7055,12/01/2021 14:20,Annual Member,No
376,7293,12/01/2021 14:27,7030,12/01/2021 14:33,Annual Member,No
461,7293,12/01/2021 14:38,7014,12/01/2021 14:46,Annual Member,No
545,7293,12/01/2021 14:48,7324,12/01/2021 14:57,Annual Member,No
932,7428,12/01/2021 15:10,7318,12/01/2021 15:26,Casual Member,Yes
418,7293,12/01/2021 15:32,7026,12/01/2021 15:39,Casual Member,No
1052,7293,12/01/2021 15:38,7329,12/01/2021 15:55,Annual Member,Yes
241,7293,12/01/2021 16:02,7389,12/01/2021 16:06,Annual Member,No
635,7662,12/01/2021 16:05,7675,12/01/2021 16:15,Annual Member,No
139,7293,12/01/2021 16:05,7274,12/01/2021 16:07,Annual Member,No
243,7293,12/01/2021 16:23,7285,12/01/2021 16:27,Annual Member,No
558,7293,12/01/2021 16:36,7014,12/01/2021 16:45,Annual Member,No
305,7293,12/01/2021 16:49,7023,12/01/2021 16:54,Annual Member,No
1249,7249,12/01/2021 16:50,7172,12/01/2021 17:11,Annual Member,Yes
440,7293,12/01/2021 16:58,7055,12/01/2021 17:05,Casual Member,No
439,7293,12/01/2021 17:01,7038,12/01/2021 17:08,Casual Member,No
287,7293,12/01/2021 17:08,7389,12/01/2021 17:13,Annual Member,No
476,7293,12/01/2021 17:08,7191,12/01/2021 17:16,Annual Member,No
737,7293,12/01/2021 17:09,7114,12/01/2021 17:21,Annual Member,No
671,7293,12/01/2021 17:10,7323,12/01/2021 17:21,Annual Member,No
603,7293,12/01/2021 17:18,7333,12/01/2021 17:28,Annual Member,No
775,7293,12/01/2021 17:36,7118,12/01/2021 17:49,Annual Member,No
1242,7107,12/01/2021 17:46,7069,12/01/2021 18:07,Casual Member,Yes
297,7293,12/01/2021 18:03,7263,12/01/2021 18:08,Annual Member,No
683,7293,12/01/2021 18:13,7121,12/01/2021 18:25,Annual Member,No
181,7293,12/01/2021 18:15,7007,12/01/2021 18:18,Annual Member,No
271,7293,12/01/2021 18:26,7457,12/01/2021 18:30,Annual Member,No
890,7293,12/01/2021 18:27,7375,12/01/2021 18:42,Annual Member,No
323,7293,12/01/2021 18:31,7292,12/01/2021 18:37,Annual Member,No
1119,7293,12/01/2021 18:37,7150,12/01/2021 18:55,Annual Member,Yes
579,7293,12/01/2021 19:35,7121,12/01/2021 19:45,Annual Member,No
367,7338,12/01/2021 19:47,7337,12/01/2021 19:53,Casual Member,No
402,7293,12/01/2021 19:58,7199,12/01/2021 20:04,Annual Member,No
539,7293,12/01/2021 20:36,7281,12/01/2021 20:45,Annual Member,No
315,7107,12/01/2021 21:21,7101,12/01/2021 21:26,Annual Member,No
484,7293,12/01/2021 22:08,7049,12/01/2021 22:16,Annual Member,No
1114,7293,12/02/2021 00:00,7198,12/02/2021 00:18,Annual Member,Yes
1422,7293,12/02/2021 00:23,7076,12/02/2021 00:47,Casual Member,Yes
1517,7293,12/02/2021 00:24,7043,12/02/2021 00:49,Casual Member,Yes
1073,7338,12/02/2021 03:13,7357,12/02/2021 03:30,Casual Member,Yes
359,7662,12/02/2021 08:22,7148,12/02/2021 08:28,Casual Member,No
736,7662,12/02/2021 09:45,7324,12/02/2021 09:57,Annual Member,No
281,7293,12/02/2021 10:37,7190,12/02/2021 10:41,Annual Member,No
319,7293,12/02/2021 10:46,7285,12/02/2021 10:51,Annual Member,No
1586,7338,12/02/2021 10:46,7096,12/02/2021 11:13,Casual Member,Yes
321,7293,12/02/2021 11:01,7544,12/02/2021 11:06,Annual Member,No
270,7662,12/02/2021 11:10,7496,12/02/2021 11:14,Annual Member,No
311,7293,12/02/2021 11:37,7170,12/02/2021 11:42,Annual Member,No
270,7293,12/02/2021 12:48,7066,12/02/2021 12:53,Annual Member,No
366,7293,12/02/2021 13:08,7544,12/02/2021 13:14,Annual Member,No
546,7293,12/02/2021 13:09,7384,12/02/2021 13:18,Annual Member,No
351,7293,12/02/2021 13:27,7023,12/02/2021 13:32,Casual Member,No
217,7293,12/02/2021 14:17,7546,12/02/2021 14:20,Annual Member,No
1612,7662,12/02/2021 15:20,7015,12/02/2021 15:47,Annual Member,Yes
913,7107,12/02/2021 16:10,7043,12/02/2021 16:25,Casual Member,Yes
1228,7338,12/02/2021 16:31,7074,12/02/2021 16:52,Annual Member,Yes
996,7293,12/02/2021 16:47,7160,12/02/2021 17:03,Annual Member,Yes
572,7293,12/02/2021 16:47,7121,12/02/2021 16:57,Annual Member,No
610,7293,12/02/2021 17:06,7204,12/02/2021 17:17,Annual Member,No
530,7293,12/02/2021 17:10,7281,12/02/2021 17:19,Annual Member,No
446,7293,12/02/2021 17:25,7029,12/02/2021 17:32,Annual Member,No
705,7293,12/02/2021 17:32,7547,12/02/2021 17:44,Casual Member,No
897,7293,12/02/2021 17:33,7042,12/02/2021 17:48,Annual Member,No
389,7293,12/02/2021 17:33,7235,12/02/2021 17:39,Casual Member,No
404,7293,12/02/2021 17:33,7055,12/02/2021 17:40,Casual Member,No
346,7293,12/02/2021 17:33,7195,12/02/2021 17:39,Annual Member,No
1048,7293,12/02/2021 17:42,7373,12/02/2021 18:00,Annual Member,Yes
407,7293,12/02/2021 17:44,7102,12/02/2021 17:50,Annual Member,No
459,7293,12/02/2021 18:05,7017,12/02/2021 18:12,Annual Member,No
388,7293,12/02/2021 18:06,7544,12/02/2021 18:12,Casual Member,No
181,7293,12/02/2021 18:40,7250,12/02/2021 18:43,Annual Member,No
670,7107,12/02/2021 19:52,7684,12/02/2021 20:04,Casual Member,No
1283,7293,12/02/2021 20:00,7150,12/02/2021 20:21,Annual Member,Yes
241,7293,12/02/2021 20:09,7292,12/02/2021 20:13,Annual Member,No
543,7293,12/02/2021 20:10,7055,12/02/2021 20:19,Annual Member,No
666,7293,12/02/2021 20:16,7121,12/02/2021 20:27,Annual Member,No
349,7662,12/02/2021 20:19,7233,12/02/2021 20:25,Annual Member,No
385,7293,12/02/2021 20:42,7544,12/02/2021 20:48,Casual Member,No
577,7293,12/02/2021 20:43,7051,12/02/2021 20:53,Annual Member,No
785,7293,12/02/2021 21:01,7682,12/02/2021 21:14,Casual Member,No
309,7293,12/02/2021 21:15,7271,12/02/2021 21:20,Annual Member,No
444,7293,12/02/2021 21:20,7022,12/02/2021 21:27,Annual Member,No
551,7249,12/02/2021 21:37,7023,12/02/2021 21:46,Casual Member,No
272,7293,12/02/2021 22:17,7078,12/02/2021 22:22,Annual Member,No
388,7293,12/02/2021 22:52,7001,12/02/2021 22:59,Casual Member,No
518,7293,12/02/2021 23:01,7260,12/02/2021 23:10,Annual Member,No
789,7338,12/03/2021 03:09,7357,12/03/2021 03:22,Casual Member,No
308,7338,12/03/2021 08:02,7094,12/03/2021 08:07,Casual Member,No
298,7662,12/03/2021 08:36,7148,12/03/2021 08:41,Casual Member,No
785,7107,12/03/2021 08:48,7043,12/03/2021 09:01,Annual Member,No
320,7293,12/03/2021 09:19,7023,12/03/2021 09:24,Annual Member,No
278,7293,12/03/2021 10:55,7544,12/03/2021 11:00,Annual Member,No
482,7293,12/03/2021 10:57,7089,12/03/2021 11:05,Annual Member,No
278,7293,12/03/2021 11:00,7030,12/03/2021 11:05,Annual Member,No
269,7293,12/03/2021 11:05,7002,12/03/2021 11:10,Annual Member,No
1611,7338,12/03/2021 11:23,7483,12/03/2021 11:49,Casual Member,Yes
1259,7107,12/03/2021 11:35,7533,12/03/2021 11:56,Annual Member,Yes
107,7293,12/03/2021 12:39,7250,12/03/2021 12:41,Annual Member,No
448,7293,12/03/2021 12:41,7199,12/03/2021 12:48,Annual Member,No
581,7107,12/03/2021 12:41,7119,12/03/2021 12:51,Casual Member,No
511,7249,12/03/2021 12:55,7240,12/03/2021 13:04,Annual Member,No
168,7662,12/03/2021 13:11,7136,12/03/2021 13:13,Annual Member,No
536,7249,12/03/2021 13:36,7437,12/03/2021 13:45,Annual Member,No
248,7293,12/03/2021 14:03,7170,12/03/2021 14:07,Annual Member,No
548,7293,12/03/2021 14:10,7273,12/03/2021 14:19,Casual Member,No
626,7293,12/03/2021 14:12,7281,12/03/2021 14:22,Annual Member,No
1099,7249,12/03/2021 14:32,7320,12/03/2021 14:51,Annual Member,Yes
328,7662,12/03/2021 14:38,7633,12/03/2021 14:43,Casual Member,No
458,7293,12/03/2021 14:38,7055,12/03/2021 14:45,Casual Member,No
294,7293,12/03/2021 15:11,7408,12/03/2021 15:16,Annual Member,No
618,7662,12/03/2021 15:18,7247,12/03/2021 15:29,Casual Member,No
1544,7662,12/03/2021 15:23,7242,12/03/2021 15:49,Casual Member,Yes
247,7293,12/03/2021 15:49,7006,12/03/2021 15:53,Annual Member,No
182,7293,12/03/2021 15:50,7235,12/03/2021 15:53,Annual Member,No
237,7293,12/03/2021 15:59,7006,12/03/2021 16:03,Casual Member,No
1445,7107,12/03/2021 16:02,7409,12/03/2021 16:26,Casual Member,Yes
308,7293,12/03/2021 16:04,7389,12/03/2021 16:09,Annual Member,No
352,7428,12/03/2021 16:19,7365,12/03/2021 16:25,Annual Member,No
554,7293,12/03/2021 16:28,7281,12/03/2021 16:37,Annual Member,No
325,7293,12/03/2021 16:55,7217,12/03/2021 17:00,Annual Member,No
627,7293,12/03/2021 16:57,7131,12/03/2021 17:07,Annual Member,No
908,7338,12/03/2021 17:08,7303,12/03/2021 17:23,Annual Member,Yes
